payment_id,order_id,payment_method,payment_status,payment_date
162,162,Net Banking,Refunded,18-09-2024
163,163,Net Banking,Failed,28-06-2024
164,164,Debit Card,Refunded,21-10-2025
165,165,Net Banking,Paid,01-02-2024
166,166,Net Banking,Failed,21-04-2025
167,167,UPI,Refunded,16-11-2025
168,168,UPI,Refunded,30-04-2025
169,169,UPI,Failed,13-04-2025
170,170,UPI,Paid,25-03-2025
171,171,Net Banking,Paid,29-05-2025
172,172,Credit Card,Paid,12-04-2024
173,173,Net Banking,Failed,10-04-2025
174,174,UPI,Refunded,12-12-2024
175,175,Credit Card,Failed,12-07-2025
176,176,Credit Card,Refunded,25-07-2025
177,177,UPI,Failed,24-08-2025
178,178,Credit Card,Refunded,11-07-2025
179,179,Net Banking,Paid,05-02-2024
180,180,COD,Paid,17-07-2024
181,181,UPI,Failed,25-05-2024
182,182,Credit Card,Failed,21-06-2025
183,183,Credit Card,Paid,11-09-2025
184,184,Credit Card,Failed,18-02-2025
185,185,Credit Card,Failed,23-06-2025
186,186,Net Banking,Refunded,30-12-2025
187,187,Net Banking,Refunded,16-06-2025
188,188,COD,Failed,03-03-2024
189,189,Net Banking,Paid,29-04-2024
190,190,Net Banking,Refunded,07-09-2024
191,191,Net Banking,Refunded,01-04-2024
192,192,Net Banking,Paid,30-06-2025
193,193,COD,Paid,08-09-2025
194,194,Credit Card,Refunded,28-08-2024
195,195,Credit Card,Paid,17-10-2025
196,196,Net Banking,Refunded,09-07-2025
197,197,Credit Card,Refunded,06-01-2024
198,198,Debit Card,Failed,08-11-2024
199,199,Net Banking,Failed,18-12-2025
200,200,Net Banking,Refunded,16-12-2024
201,201,Debit Card,Refunded,29-11-2024
202,202,Credit Card,Refunded,28-04-2025
203,203,Debit Card,Failed,05-10-2025
204,204,Debit Card,Failed,27-09-2024
205,205,COD,Failed,04-12-2024
206,206,Credit Card,Failed,23-09-2024
207,207,Net Banking,Refunded,16-08-2024
208,208,COD,Refunded,07-05-2024
209,209,UPI,Refunded,22-01-2025
210,210,Credit Card,Paid,24-02-2024
211,211,UPI,Failed,09-09-2024
212,212,COD,Failed,07-02-2024
213,213,UPI,Paid,23-05-2024
214,214,Credit Card,Failed,19-12-2025
215,215,UPI,Refunded,11-08-2025
216,216,Credit Card,Refunded,02-03-2025
217,217,UPI,Failed,17-04-2024
218,218,UPI,Failed,19-02-2025
219,219,Credit Card,Refunded,15-03-2025
220,220,Net Banking,Failed,03-12-2024
221,221,UPI,Refunded,26-01-2024
222,222,Debit Card,Refunded,06-08-2025
223,223,Debit Card,Paid,22-04-2025
224,224,Credit Card,Refunded,29-12-2025
225,225,Debit Card,Paid,10-01-2024
226,226,COD,Failed,15-05-2025
227,227,Credit Card,Paid,19-10-2024
228,228,Credit Card,Failed,12-11-2024
229,229,Credit Card,Failed,23-03-2025
230,230,Net Banking,Paid,06-02-2024
231,231,UPI,Paid,29-01-2025
232,232,UPI,Refunded,21-11-2024
233,233,Credit Card,Refunded,11-02-2024
234,234,Net Banking,Refunded,07-04-2025
235,235,Debit Card,Refunded,06-11-2025
236,236,Net Banking,Paid,11-02-2024
237,237,Credit Card,Failed,16-02-2025
238,238,Net Banking,Paid,25-12-2024
239,239,Net Banking,Failed,21-08-2024
240,240,COD,Refunded,17-10-2024
241,241,UPI,Failed,16-10-2024
242,242,UPI,Failed,24-08-2025
243,243,Credit Card,Refunded,17-12-2024
244,244,Debit Card,Paid,12-11-2024
245,245,UPI,Paid,21-09-2025
246,246,UPI,Paid,21-09-2025
247,247,UPI,Failed,20-07-2024
248,248,UPI,Refunded,20-06-2024
249,249,Net Banking,Failed,21-05-2024
250,250,Debit Card,Refunded,15-02-2024
251,251,Credit Card,Refunded,26-10-2024
252,252,Net Banking,Paid,18-04-2024
253,253,COD,Failed,01-11-2024
254,254,Debit Card,Failed,10-02-2025
255,255,UPI,Failed,12-03-2025
256,256,COD,Refunded,14-04-2025
257,257,Net Banking,Failed,29-09-2024
258,258,Debit Card,Failed,13-05-2024
259,259,Net Banking,Failed,04-01-2025
260,260,Debit Card,Failed,16-12-2025
261,261,Credit Card,Failed,29-05-2024
262,262,Debit Card,Failed,17-04-2024
263,263,Credit Card,Failed,06-01-2024
264,264,COD,Paid,15-01-2024
265,265,COD,Failed,03-03-2024
266,266,UPI,Failed,30-08-2024
267,267,Credit Card,Paid,25-11-2024
268,268,COD,Refunded,20-07-2024
269,269,UPI,Refunded,21-10-2025
270,270,Debit Card,Paid,01-06-2024
271,271,Debit Card,Failed,17-07-2025
272,272,Credit Card,Paid,29-03-2025
273,273,Credit Card,Refunded,04-09-2025
274,274,Net Banking,Failed,25-10-2025
275,275,Debit Card,Paid,15-11-2025
276,276,UPI,Failed,18-10-2025
277,277,COD,Failed,04-07-2025
278,278,Debit Card,Paid,18-11-2025
279,279,Net Banking,Failed,16-06-2024
280,280,Credit Card,Failed,29-05-2024
281,281,UPI,Failed,27-01-2024
282,282,UPI,Refunded,14-10-2024
283,283,COD,Paid,15-12-2025
284,284,Debit Card,Paid,25-04-2024
285,285,Net Banking,Refunded,19-03-2025
286,286,COD,Failed,24-08-2025
287,287,Debit Card,Paid,01-10-2024
288,288,Credit Card,Refunded,21-05-2025
289,289,Debit Card,Paid,03-10-2024
290,290,UPI,Paid,01-05-2024
291,291,COD,Refunded,26-02-2025
292,292,Net Banking,Refunded,23-04-2025
293,293,Credit Card,Paid,15-05-2024
294,294,Net Banking,Failed,28-10-2025
295,295,Debit Card,Failed,04-04-2024
296,296,Net Banking,Refunded,14-02-2024
297,297,COD,Paid,14-10-2024
298,298,Credit Card,Failed,25-06-2025
299,299,UPI,Paid,25-05-2025
300,300,Net Banking,Refunded,07-10-2025
301,301,COD,Refunded,06-07-2024
302,302,Net Banking,Failed,06-11-2025
303,303,UPI,Refunded,08-03-2025
304,304,Net Banking,Paid,18-04-2025
305,305,Credit Card,Refunded,07-10-2025
306,306,UPI,Failed,26-12-2025
307,307,Debit Card,Failed,15-09-2024
308,308,UPI,Refunded,14-11-2025
309,309,UPI,Refunded,16-10-2025
310,310,COD,Refunded,23-06-2024
311,311,Debit Card,Paid,17-08-2024
312,312,Debit Card,Refunded,30-08-2024
313,313,COD,Failed,02-04-2024
314,314,Credit Card,Refunded,24-04-2024
315,315,Debit Card,Paid,06-04-2024
316,316,UPI,Refunded,14-08-2024
317,317,Debit Card,Paid,03-04-2024
318,318,Credit Card,Failed,11-09-2024
319,319,Debit Card,Paid,30-03-2025
320,320,Debit Card,Refunded,12-05-2025
321,321,Debit Card,Refunded,21-08-2024
322,322,Credit Card,Paid,19-07-2025
323,323,Credit Card,Refunded,05-08-2024
324,324,Net Banking,Refunded,22-06-2025
325,325,Debit Card,Refunded,01-11-2024
326,326,COD,Refunded,27-12-2025
327,327,COD,Failed,03-06-2024
328,328,Net Banking,Failed,24-10-2024
329,329,UPI,Failed,07-11-2025
330,330,Credit Card,Refunded,19-03-2025
331,331,Credit Card,Failed,03-09-2024
332,332,Credit Card,Paid,08-02-2025
333,333,Credit Card,Failed,22-03-2025
334,334,Credit Card,Paid,15-09-2024
335,335,Debit Card,Failed,04-03-2024
336,336,Debit Card,Refunded,23-05-2024
337,337,Credit Card,Refunded,13-04-2024
338,338,Debit Card,Refunded,15-08-2025
339,339,UPI,Failed,01-09-2025
340,340,UPI,Failed,03-04-2024
341,341,COD,Paid,12-09-2024
342,342,Credit Card,Paid,07-12-2024
343,343,UPI,Failed,30-03-2024
344,344,UPI,Failed,07-05-2025
345,345,Debit Card,Paid,04-01-2024
346,346,Credit Card,Refunded,05-06-2025
347,347,Credit Card,Failed,24-02-2025
348,348,UPI,Paid,15-09-2025
349,349,Credit Card,Paid,26-11-2024
350,350,COD,Paid,14-09-2024
351,351,UPI,Paid,07-04-2024
352,352,UPI,Paid,30-03-2024
353,353,Debit Card,Refunded,12-05-2024
354,354,UPI,Failed,25-03-2025
355,355,COD,Failed,17-11-2025
356,356,Net Banking,Failed,20-09-2025
357,357,UPI,Failed,09-05-2025
358,358,COD,Refunded,20-10-2024
359,359,COD,Failed,16-11-2024
360,360,UPI,Paid,04-05-2025
361,361,Credit Card,Refunded,20-02-2025
362,362,Net Banking,Failed,20-10-2025
363,363,Credit Card,Paid,19-11-2024
364,364,Credit Card,Refunded,29-08-2024
365,365,Net Banking,Paid,03-06-2024
366,366,UPI,Refunded,02-06-2025
367,367,UPI,Paid,30-06-2024
368,368,UPI,Paid,23-10-2025
369,369,UPI,Failed,17-04-2024
370,370,Credit Card,Failed,25-09-2025
371,371,Debit Card,Refunded,26-03-2024
372,372,Net Banking,Failed,10-05-2024
373,373,Net Banking,Refunded,23-08-2025
374,374,Net Banking,Paid,26-06-2025
375,375,UPI,Failed,05-11-2025
376,376,COD,Failed,16-03-2025
377,377,Credit Card,Refunded,17-04-2025
378,378,UPI,Failed,20-04-2025
379,379,UPI,Refunded,07-02-2025
380,380,Credit Card,Failed,25-05-2024
381,381,Net Banking,Failed,04-10-2025
382,382,Credit Card,Failed,24-12-2024
383,383,Credit Card,Paid,21-03-2024
384,384,Debit Card,Refunded,11-01-2025
385,385,COD,Failed,09-11-2024
386,386,Debit Card,Paid,05-06-2025
387,387,Credit Card,Paid,25-01-2024
388,388,COD,Failed,06-11-2025
389,389,UPI,Refunded,10-06-2025
390,390,Credit Card,Refunded,09-05-2024
391,391,UPI,Failed,30-08-2024
392,392,UPI,Refunded,21-02-2025
393,393,Net Banking,Failed,30-08-2025
394,394,COD,Refunded,08-05-2024
395,395,UPI,Refunded,05-02-2024
396,396,Net Banking,Refunded,31-12-2025
397,397,Net Banking,Failed,02-02-2024
398,398,Net Banking,Refunded,15-06-2024
399,399,COD,Refunded,22-12-2025
400,400,Debit Card,Failed,28-08-2025
401,401,Debit Card,Paid,02-02-2025
402,402,UPI,Failed,09-11-2024
403,403,Net Banking,Paid,20-10-2025
404,404,UPI,Paid,06-02-2024
405,405,Net Banking,Paid,05-05-2025
406,406,Credit Card,Refunded,19-05-2025
407,407,Credit Card,Refunded,14-07-2024
408,408,UPI,Paid,02-11-2024
409,409,Debit Card,Paid,06-08-2025
410,410,Credit Card,Failed,10-05-2024
411,411,UPI,Refunded,01-04-2024
412,412,Debit Card,Refunded,23-05-2025
413,413,Credit Card,Refunded,19-12-2025
414,414,COD,Failed,23-11-2025
415,415,Net Banking,Paid,06-04-2025
416,416,Debit Card,Refunded,13-08-2025
417,417,Credit Card,Failed,07-07-2025
418,418,UPI,Failed,18-08-2025
419,419,Net Banking,Refunded,28-11-2024
420,420,Credit Card,Paid,02-02-2025
421,421,Net Banking,Refunded,29-06-2024
422,422,Credit Card,Failed,25-03-2024
423,423,COD,Refunded,20-12-2025
424,424,UPI,Refunded,06-05-2025
425,425,COD,Paid,27-01-2024
426,426,Credit Card,Paid,04-08-2024
427,427,COD,Failed,29-07-2024
428,428,Net Banking,Paid,02-12-2024
429,429,COD,Refunded,14-06-2025
430,430,COD,Refunded,05-04-2024
431,431,Credit Card,Refunded,02-07-2024
432,432,Debit Card,Refunded,04-02-2024
433,433,Net Banking,Paid,19-02-2024
434,434,UPI,Refunded,22-08-2024
435,435,Debit Card,Paid,01-12-2025
436,436,Debit Card,Paid,27-04-2024
437,437,COD,Failed,13-08-2025
438,438,UPI,Refunded,21-11-2024
439,439,Debit Card,Paid,13-08-2024
440,440,UPI,Paid,01-01-2024
441,441,COD,Paid,20-03-2024
442,442,Credit Card,Refunded,19-12-2024
443,443,Net Banking,Failed,16-11-2025
444,444,Credit Card,Paid,06-05-2025
445,445,Credit Card,Refunded,07-03-2024
446,446,Debit Card,Paid,05-02-2025
447,447,COD,Refunded,29-11-2025
448,448,UPI,Paid,26-05-2025
449,449,Net Banking,Refunded,15-04-2025
450,450,UPI,Refunded,24-05-2024
451,451,UPI,Paid,18-05-2025
452,452,Net Banking,Failed,11-07-2024
453,453,UPI,Paid,10-09-2025
454,454,Net Banking,Paid,08-07-2025
455,455,UPI,Paid,11-07-2024
456,456,COD,Refunded,07-03-2025
457,457,COD,Refunded,19-05-2025
458,458,Credit Card,Failed,20-10-2024
459,459,COD,Refunded,05-03-2024
460,460,Net Banking,Paid,06-02-2025
461,461,Debit Card,Failed,08-10-2025
462,462,Net Banking,Paid,20-06-2025
463,463,UPI,Paid,27-01-2024
464,464,Debit Card,Refunded,05-03-2024
465,465,Credit Card,Failed,24-05-2025
466,466,UPI,Paid,06-09-2024
467,467,Debit Card,Failed,17-08-2024
468,468,COD,Refunded,16-06-2024
469,469,UPI,Paid,07-05-2025
470,470,COD,Failed,27-02-2025
471,471,UPI,Refunded,21-06-2024
472,472,Credit Card,Paid,11-11-2025
473,473,COD,Paid,03-03-2025
474,474,Debit Card,Paid,29-11-2024
475,475,Net Banking,Failed,04-02-2024
476,476,Net Banking,Paid,30-11-2025
477,477,Net Banking,Refunded,31-01-2024
478,478,COD,Paid,23-03-2025
479,479,COD,Refunded,25-12-2025
480,480,UPI,Paid,17-02-2024
481,481,UPI,Refunded,06-01-2024
482,482,Debit Card,Paid,21-11-2024
483,483,COD,Refunded,02-10-2025
484,484,Debit Card,Refunded,12-05-2025
485,485,Credit Card,Paid,18-03-2025
486,486,UPI,Failed,19-04-2025
487,487,UPI,Paid,28-08-2025
488,488,Credit Card,Failed,22-09-2024
489,489,Net Banking,Paid,08-06-2024
490,490,COD,Refunded,11-10-2024
491,491,Net Banking,Failed,09-11-2024
492,492,COD,Refunded,15-04-2025
493,493,Debit Card,Refunded,28-08-2024
494,494,Net Banking,Refunded,25-04-2024
495,495,UPI,Failed,19-12-2024
496,496,Debit Card,Failed,20-03-2025
497,497,Debit Card,Failed,27-10-2025
498,498,Credit Card,Failed,30-09-2025
499,499,Debit Card,Refunded,17-08-2025
500,500,COD,Refunded,03-01-2024
501,501,COD,Refunded,16-12-2024
502,502,COD,Refunded,29-10-2025
503,503,Net Banking,Failed,29-02-2024
504,504,UPI,Paid,11-08-2025
505,505,Debit Card,Refunded,26-02-2024
506,506,Net Banking,Refunded,23-09-2024
507,507,UPI,Failed,28-01-2024
508,508,COD,Failed,13-06-2024
509,509,Credit Card,Refunded,07-01-2024
510,510,Net Banking,Refunded,03-09-2024
511,511,Credit Card,Refunded,28-02-2024
512,512,Debit Card,Paid,28-06-2025
513,513,COD,Refunded,27-03-2024
514,514,Debit Card,Paid,26-01-2024
515,515,Net Banking,Failed,07-04-2025
516,516,COD,Paid,11-05-2024
517,517,Net Banking,Refunded,30-06-2024
518,518,UPI,Paid,05-03-2025
519,519,UPI,Refunded,31-05-2024
520,520,Credit Card,Refunded,21-04-2025
521,521,Credit Card,Failed,21-08-2025
522,522,UPI,Failed,25-08-2025
523,523,UPI,Failed,02-07-2024
524,524,UPI,Refunded,08-11-2025
525,525,UPI,Refunded,06-03-2025
526,526,Net Banking,Failed,17-07-2024
527,527,Debit Card,Refunded,14-06-2024
528,528,Net Banking,Refunded,27-02-2025
529,529,UPI,Failed,25-08-2025
530,530,Net Banking,Failed,10-03-2024
531,531,Debit Card,Paid,24-02-2024
532,532,UPI,Refunded,31-12-2025
533,533,Debit Card,Refunded,19-02-2025
534,534,Credit Card,Paid,04-01-2024
535,535,UPI,Paid,12-05-2025
536,536,Credit Card,Refunded,06-11-2025
537,537,Net Banking,Failed,30-01-2024
538,538,UPI,Refunded,10-05-2025
539,539,COD,Refunded,12-07-2024
540,540,COD,Paid,11-06-2025
541,541,COD,Failed,27-06-2024
542,542,Credit Card,Refunded,13-07-2024
543,543,Net Banking,Failed,16-04-2025
544,544,Net Banking,Refunded,03-12-2024
545,545,Debit Card,Refunded,14-02-2024
546,546,Credit Card,Failed,04-10-2025
547,547,Net Banking,Paid,31-01-2024
548,548,UPI,Refunded,24-10-2024
549,549,Credit Card,Refunded,25-10-2024
550,550,UPI,Refunded,19-09-2024
551,551,Net Banking,Failed,29-01-2024
552,552,Debit Card,Refunded,14-04-2024
553,553,COD,Paid,13-10-2025
554,554,Net Banking,Failed,19-05-2024
555,555,UPI,Refunded,15-10-2024
556,556,Credit Card,Paid,12-11-2024
557,557,COD,Paid,08-03-2024
558,558,COD,Refunded,10-09-2025
559,559,UPI,Refunded,26-03-2025
560,560,Net Banking,Failed,14-08-2024
561,561,Net Banking,Failed,03-11-2025
562,562,COD,Paid,31-05-2025
563,563,Net Banking,Paid,04-07-2025
564,564,UPI,Refunded,30-11-2025
565,565,Credit Card,Failed,11-08-2024
566,566,UPI,Failed,30-07-2024
567,567,COD,Paid,21-12-2024
568,568,Debit Card,Failed,10-03-2025
569,569,UPI,Paid,04-08-2024
570,570,Net Banking,Paid,25-05-2024
571,571,Net Banking,Paid,09-10-2024
572,572,Debit Card,Paid,04-11-2024
573,573,Debit Card,Paid,31-01-2025
574,574,UPI,Failed,05-06-2024
575,575,Net Banking,Failed,12-06-2025
576,576,UPI,Paid,04-08-2024
577,577,Credit Card,Paid,16-06-2024
578,578,Credit Card,Failed,03-05-2025
579,579,COD,Paid,02-02-2025
580,580,COD,Paid,19-01-2024
581,581,UPI,Paid,09-05-2025
582,582,COD,Paid,30-04-2024
583,583,COD,Paid,22-12-2025
584,584,COD,Paid,06-11-2024
585,585,Debit Card,Failed,16-12-2024
586,586,UPI,Failed,15-06-2024
587,587,Credit Card,Paid,19-05-2025
588,588,COD,Refunded,27-08-2024
589,589,Debit Card,Failed,24-02-2025
590,590,Credit Card,Refunded,27-12-2025
591,591,Debit Card,Failed,24-10-2024
592,592,COD,Paid,17-05-2024
593,593,Debit Card,Refunded,26-09-2025
594,594,Net Banking,Paid,23-10-2024
595,595,Debit Card,Paid,06-03-2025
596,596,Credit Card,Paid,02-04-2024
597,597,Net Banking,Failed,12-10-2024
598,598,Net Banking,Failed,11-01-2025
599,599,UPI,Refunded,23-05-2025
600,600,Debit Card,Refunded,08-08-2025
601,601,Debit Card,Refunded,13-08-2025
602,602,Net Banking,Failed,21-12-2025
603,603,Net Banking,Paid,05-04-2024
604,604,Debit Card,Failed,12-08-2025
605,605,Credit Card,Failed,26-06-2025
606,606,COD,Failed,24-10-2025
607,607,Net Banking,Refunded,19-03-2024
608,608,Net Banking,Failed,10-05-2024
609,609,UPI,Failed,14-09-2025
610,610,UPI,Paid,24-11-2024
611,611,Debit Card,Refunded,18-07-2025
612,612,COD,Refunded,09-10-2025
613,613,COD,Paid,20-08-2025
614,614,COD,Failed,07-05-2024
615,615,Net Banking,Paid,25-03-2025
616,616,COD,Failed,26-03-2025
617,617,Debit Card,Failed,17-04-2025
618,618,UPI,Refunded,24-06-2025
619,619,UPI,Refunded,09-05-2024
620,620,Debit Card,Refunded,17-02-2024
621,621,Net Banking,Failed,20-04-2025
622,622,Net Banking,Refunded,04-06-2025
623,623,Net Banking,Failed,22-10-2024
624,624,Credit Card,Paid,10-08-2025
625,625,UPI,Failed,15-09-2025
626,626,UPI,Failed,03-07-2024
627,627,Net Banking,Failed,07-11-2024
628,628,UPI,Failed,07-12-2024
629,629,Net Banking,Failed,04-12-2025
630,630,Credit Card,Paid,25-06-2025
631,631,Debit Card,Failed,28-11-2024
632,632,UPI,Paid,17-10-2025
633,633,COD,Failed,19-04-2025
634,634,COD,Failed,03-12-2025
635,635,COD,Refunded,05-05-2025
636,636,COD,Failed,11-12-2024
637,637,Credit Card,Failed,13-02-2025
638,638,UPI,Paid,30-07-2024
639,639,UPI,Refunded,23-08-2025
640,640,UPI,Refunded,14-01-2025
641,641,COD,Paid,22-10-2024
642,642,UPI,Paid,16-06-2025
643,643,COD,Paid,03-03-2025
644,644,Net Banking,Paid,29-07-2024
645,645,UPI,Paid,22-02-2024
646,646,UPI,Refunded,25-04-2025
647,647,UPI,Failed,17-12-2025
648,648,Net Banking,Failed,12-05-2024
649,649,COD,Failed,02-09-2025
650,650,Debit Card,Failed,30-11-2025
651,651,Debit Card,Paid,24-02-2025
652,652,Credit Card,Refunded,17-12-2024
653,653,Net Banking,Refunded,30-03-2024
654,654,UPI,Paid,17-09-2025
655,655,Net Banking,Failed,24-12-2024
656,656,Debit Card,Refunded,19-08-2024
657,657,COD,Failed,21-05-2024
658,658,UPI,Refunded,21-09-2024
659,659,Credit Card,Paid,02-11-2025
660,660,Net Banking,Failed,30-10-2025
661,661,UPI,Refunded,14-08-2024
662,662,COD,Refunded,08-06-2024
663,663,Credit Card,Failed,02-10-2025
664,664,Net Banking,Paid,16-12-2024
665,665,Credit Card,Failed,10-10-2024
666,666,Credit Card,Paid,12-03-2024
667,667,UPI,Refunded,12-04-2024
668,668,UPI,Failed,25-03-2025
669,669,Net Banking,Failed,15-08-2025
670,670,Credit Card,Refunded,08-05-2025
671,671,Net Banking,Paid,18-06-2024
672,672,Credit Card,Failed,16-12-2024
673,673,UPI,Refunded,09-04-2024
674,674,Net Banking,Paid,15-04-2025
675,675,Debit Card,Refunded,20-03-2025
676,676,Net Banking,Failed,04-11-2024
677,677,Debit Card,Failed,25-12-2024
678,678,Credit Card,Paid,12-10-2025
679,679,Credit Card,Refunded,22-05-2024
680,680,Debit Card,Failed,14-10-2024
681,681,Credit Card,Paid,13-12-2024
682,682,Credit Card,Paid,22-12-2024
683,683,Debit Card,Paid,23-09-2025
684,684,COD,Failed,20-02-2025
685,685,UPI,Failed,18-08-2024
